Description,Part/parts,Mfr Part #,Digikey Part #,Qty/Board,Buy,Price/unit,Price,Link,Total Price;,136.9
CMOD-35T board,,410-328-35,1286-1130-ND,1,0,89,0,https://www.digikey.com/product-detail/en/410-328-35/1286-1130-ND/6133793/?itemSeq=305862743,,
TE AMP 28POS Housing,,1565380-1,A126069-ND,1,0,4.6,0,https://www.digikey.com/product-detail/en/1565380-1/A126069-ND/2273588/?itemSeq=308198808,,
TE AMP crimp tin,,1123343-1,A107011CT-ND,26,0,0.1116,0,https://www.digikey.com/product-detail/en/1123343-1/A107011CT-ND/3488572/?itemSeq=308199240,,
TI SAR ADC 12 bit 3Msps,,ADS7883SBDBVT,296-23634-1-ND,8,8,6.02,48.16,https://www.digikey.com/product-detail/en/texas-instruments/ADS7883SBDBVT/296-23634-1-ND/1919068,,
TI 20v Logic level shifter 4CH,,CD40109BPWR,296-12163-1-ND,2,2,0.45,0.9,https://www.digikey.com/product-detail/en/texas-instruments/CD40109BPWR/296-12163-1-ND/412005,,
5v logic level shifter,,"74LVC8T245PW,118",1727-4417-1-ND,2,2,1.09,2.18,https://www.digikey.com/product-detail/en/nexperia-usa-inc/74LVC8T245PW118/1727-4417-1-ND/2530758,,
Opamp 20Mhz 32v,,LM7321QMF/NOPB,296-45162-1-ND,9,10,2.096,20.96,https://www.digikey.com/product-detail/en/texas-instruments/LM7321QMF-NOPB/296-45162-1-ND/6570640,,
Res 1k 0.1% 1/16W 0402,,ERA-2AEB102X,P1.0KDCCT-ND,2,2,0.45,0.9,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-2AEB102X/P1.0KDCCT-ND/1706183,,
3.3v linear reg,,TLV73333PDBVR,296-40673-1-ND,2,2,0.45,0.9,https://www.digikey.com/product-detail/en/texas-instruments/TLV73333PDBVR/296-40673-1-ND/5178550,,
5v reg,,MUN24AD03-SM,2037-MUN24AD03-SMCT-ND,1,1,3.92,3.92,https://www.digikey.com/product-detail/en/delta-electronics-cyntec/MUN24AD03-SM/2037-MUN24AD03-SMCT-ND/9839047,,
12v reg 27W,,555-1245-1-ND,555-1245-1-ND,1,1,8.57,8.57,https://www.digikey.com/product-detail/en/abb-embedded-power/APXW003A0X3-SRZ/555-1245-1-ND/2640013,,
DB26,,L17HTHAS4F1C,L17HTHAS4F1C-ND,1,1,2.8,2.8,https://www.digikey.com/product-detail/en/amphenol-icc-commercial-products/L17HTHAS4F1C/L17HTHAS4F1C-ND/4884969,,
,,,,,,,0,,,
,,,,,,,0,,,
,,,,,,,0,,,
,,,,,,,0,,,
Cap 20p 0402 50v,,CL05C200JB5NNNC,1276-1661-1-ND,2,3,0.1,0.3,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL05C200JB5NNNC/1276-1661-1-ND/3889747,,
Cap 220p 0402,,CL05B221KB5NNNC,1276-1531-1-ND,1,3,0.1,0.3,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL05B221KB5NNNC/1276-1531-1-ND/3889617,,
Cap 10n 50v 0402,,GCM155R71H103KA55D,490-4762-1-ND,26,30,0.042,1.26,https://www.digikey.com/product-detail/en/murata-electronics/GCM155R71H103KA55D/490-4762-1-ND/1641681,,
Cap 1u 25v 0402,,CL05A105KA5NQNC,1276-1445-1-ND,31,35,0.124,4.34,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL05A105KA5NQNC/1276-1445-1-ND/3889531,,
Cap 10uF 0805 25v,,CL21A106KAYNNNE,1276-2891-1-ND,4,4,0.25,1,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KAYNNNE/1276-2891-1-ND/3890977,,
Cap 22uF 25v 1210,,CL32B226KAJNFNE,1276-3391-1-ND,4,4,0.91,3.64,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL32B226KAJNFNE/1276-3391-1-ND/3891477,,
,,,,,,,0,,,
RES 0402 jumper,,ERJ-2GE0R00X,P0.0JCT-ND,8,10,0.03,0.3,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&sv=0&v=10&sf=0&FV=7%7C2%2C16%7C39158%2C1989%7C0%2C-8%7C52%2C3%7C362150&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25,,
RES 0402 100 1%,,ERJ-2RKF1000X,P100LCT-ND,1,2,0.1,0.2,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF1000X/P100LCT-ND/194126,,
RES 0402 330 1%,,ERJ-2RKF3300X,P330LCT-ND,1,2,0.1,0.2,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF3300X/P330LCT-ND/1746671,,
RES 0402 1k 1%,,ERJ-2RKF1001X,P1.00KLCT-ND,3,10,0.052,0.52,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF1001X/P1.00KLCT-ND/97341,,
RES 0402 6.19k 1%,,ERJ-2RKF6191X,P6.19KLCT-ND,1,2,0.1,0.2,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&sv=0&pv2085=u6.19+kOhms&sf=0&FV=-1%7C10%2C3%7C1131%2C7%7C2%2C16%7C39158%2C1989%7C0%2C-8%7C52&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25,,
RES 0402 13.7k 1%,,ERJ-2RKF1372X,P13.7KLCT-ND,15,20,0.1,2,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&sv=0&pv2085=u13.7+kOhms&sf=0&FV=-1%7C10%2C3%7C1131%2C7%7C2%2C16%7C39158%2C1989%7C0%2C-8%7C52&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25,,
RES 0402 37.4k 1%,,ERJ-2RKF3742X,P37.4KLCT-ND,3,10,0.043,0.43,https://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&sv=0&pv2085=u37.4+kOhms&sf=0&FV=-1%7C10%2C3%7C1131%2C7%7C2%2C16%7C39158%2C1989%7C0%2C-8%7C52&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25,,
RES 0402 100k 1%,,ERJ-2RKF1003X,P100KLCT-ND,15,20,0.045,0.9,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF1003X/P100KLCT-ND/194127,,
,,,,,,,0,,,
,,,,,,,0,,,
,,,,,,,0,,,
Resolver Decoder,,AD2S1205WSTZ,AD2S1205WSTZ-ND,1,1,19.61,19.61,https://www.digikey.com/product-detail/en/analog-devices-inc/AD2S1205WSTZ/AD2S1205WSTZ-ND/1523000,,
Quad Opamp 3Mz 36V,,OPA4171AIDR,296-29037-1-ND,1,1,2.71,2.71,https://www.digikey.com/product-detail/en/texas-instruments/OPA4171AIDR/296-29037-1-ND/2687121,,
8.192Mhz Crystal,,LFXTAL061486REEL,1923-1775-1-ND,1,1,0.77,0.77,https://www.digikey.com/product-detail/en/iqd-frequency-products/LFXTAL061486REEL/1923-1775-1-ND/10106653,,
DB9,,A-DF 09 A/KG-T2S,AE10921-ND,1,1,0.77,0.77,https://www.digikey.com/product-detail/en/assmann-wsw-components/A-DF-09-A-KG-T2S/AE10921-ND/1241800,,
NPN SOT23-3,,ZXTN25040DFHTA,ZXTN25040DFHCT-ND,2,2,0.59,1.18,https://www.digikey.com/product-detail/en/diodes-incorporated/ZXTN25040DFHTA/ZXTN25040DFHCT-ND/1207614,,
